EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AUS,Australia,0.86410761314285,0.87289962209647,0.8722232094135,0.84379589310861,0.82099935493618,0.80321487430846,0.79531025296486,0.78553172945341,0.7838010119332,0.75703676304172,0.7407418810292,0.73910896840324,0.7217807156091,0.68871938018502,0.68535164063056,0.66917713718677,0.65632744060609,0.64170783141016,0.6176275397832,0.61556838169071,0.60753402438005,0.5971951144423,0.57717830592418,0.55228346923311,0.52790084637443,0.52393105520772,0.51041790347404,0.50492705533672,0.48809838880866,0.47632991462391,0.45804705766008,0.43927317806428,0.4312643313728
AUT,Austria,0.28313197548046,0.28767580072706,0.26354190596861,0.26207296458458,0.25707500540914,0.25925863516668,0.26532691925718,0.25754658707446,0.24919284432443,0.23495971360754,0.22765395274887,0.23780570996651,0.23788823227124,0.25060988625361,0.24322400770249,0.23840978310649,0.22450713020007,0.20929028299642,0.20495008538263,0.19643238894419,0.20712445011474,0.19721178389557,0.18861051195046,0.19007051146899,0.18070190233088,0.18102747657685,0.17898944539807,0.18018507550909,0.16971721143877,0.17030330989674,0.16891929365449,0.16756466737344,0.15079640114025
AZE,Azerbaijan,1.2772864282738,1.2427983649673,1.3494509331291,1.557328561455,1.7463297850603,1.9308056165284,1.6793463603799,1.5667685879153,1.4398309562604,1.3671715612814,1.2876387041736,1.1456106804556,1.0405845610033,1.0158560350688,0.92973536534977,0.77901007182348,0.59929726206528,0.49910896250878,0.50359683303349,0.40678475212306,0.38135287663638,0.40294659547147,0.42153630888536,0.40879737918029,0.41224460011351,0.40491229104336,0.41856363370717,0.41527579919379,0.41907837726803,0.44424843127939,0.45854388264574,0.46498284411467,0.44994053223068
BDI,Burundi,0.47471462233002,0.47274694062592,0.46141170973007,0.49730514358423,0.5097229821833,0.57062026522626,0.63437883277343,0.65530362768777,0.61804246483403,0.60968463125078,0.63094524421948,0.62224512066773,0.59268131166896,0.61218537094463,0.61719485224437,0.63443144847712,0.63959416045339,0.66608944063458,0.64367297315567,0.6518754653721,0.67370064838338,0.69066728653163,0.66964943814663,0.7252797413008,0.69633475161093,0.73238158963816,0.78150816622201,0.86244806766403,0.8835972679398,0.82837883625977,0.82146700854026,0.81812579914083,0.81944152969483
BEL,Belgium,0.40350190666178,0.40728272451,0.39521327509004,0.39354301457258,0.40160599056196,0.39457785068483,0.40302254765123,0.37909029651226,0.38085676293846,0.3586965587139,0.34872258333796,0.34535953204724,0.32242352396529,0.32729422109923,0.3137056538709,0.30031980081637,0.28565202795884,0.27031845668463,0.27222559536439,0.26283916395089,0.27184133213649,0.2478842985743,0.24233448611026,0.24328603623133,0.22641349555317,0.22955798398545,0.22418629916852,0.21644049303601,0.21384104849052,0.20852510475105,0.2066186487701,0.20286688226195,0.18383395652113
BEN,Benin,0.3879939841904,0.38185439477019,0.38117166930479,0.36340291799794,0.38409979507456,0.34713740797184,0.40218211130868,0.40117940274281,0.38848584016157,0.39152100240179,0.38472281620626,0.39608968628935,0.40366544730997,0.40959534113733,0.40897160571477,0.42506738486373,0.46859381774958,0.47452054493336,0.45840056463152,0.47093154007252,0.49746861855662,0.48814022194494,0.46563283147956,0.4631171617142,0.45511940324618,0.46540961160271,0.50287652110832,0.48804320852961,0.49969712185722,0.47070365278054,0.47306229631695,0.46554267027647,0.45096119163441
BFA,Burkina Faso,1.2585305201124,1.2155224591832,1.2262891978513,1.2130177791814,1.2337860047267,1.2048258698742,1.1163749975088,1.0937128798864,1.0497142603061,0.97829673355556,0.98774555269851,0.99360950352391,0.97754255618624,1.091136352387,1.0636568449516,1.0100195603759,0.97273090201181,0.97816133057478,0.96832556752832,0.95918398447055,0.91694383982924,0.88588497030838,0.86350928214243,0.84819952321185,0.82325950576559,0.84364169232358,0.81599995886243,0.79760934428568,0.778072480846,0.76295616285309,0.76348666816541,0.73861371247788,0.74655988528241
BGD,Bangladesh,0.7546536392857,0.72059163428013,0.69146280025651,0.65792819335224,0.64290685946124,0.6343707320366,0.61104025080355,0.59054766241708,0.55899215377056,0.55701996232443,0.53553728357793,0.5321662399413,0.52614719736512,0.51330547394603,0.49233512574515,0.47848160010334,0.4630746560722,0.44443088177406,0.44432054839583,0.43412266037655,0.42957933450334,0.41191349167961,0.39645446865828,0.38270605580745,0.37057280478123,0.36240027301088,0.34868840961739,0.34315012697888,0.33250588919919,0.30594672461922,0.28739260980634,0.27649328448562,0.26217900370755
BGR,Bulgaria,0.96273682896725,0.90940809944532,0.92794812154905,0.93338820377918,0.85470485632692,0.81179721371373,0.77630389681383,0.87099505845032,0.80582504610583,0.79173998994813,0.73574257295274,0.72892774578363,0.65260760382977,0.68104074475889,0.62331185405873,0.58976301343162,0.56361363975216,0.55775900252618,0.50205672299158,0.45674725234989,0.47041929920919,0.50186699146075,0.45958731289867,0.42288508528255,0.43678346098692,0.45236844490112,0.42339000789404,0.42993533649946,0.39806454529892,0.37403758738201,0.3597585995128,0.37766736892928,0.39451903045901
BHR,Bahrain,1.5788585833144,1.3932396591882,1.5025588816871,1.4186922010822,1.4225602571226,1.3647103066154,1.360984677911,1.2351917304227,1.2330857241362,1.2510445061945,1.2059884393495,1.210627249039,1.1596279894198,1.0828738636507,1.0097723699319,1.0356151586451,1.0131186531565,0.96116015223446,0.97725972185138,0.96469777141087,0.93416841983394,0.92247424793932,0.95475817434601,0.98391969683171,0.97453066577195,0.95357229776436,0.92364865508506,0.88376380427418,0.86973332464661,0.90679450395098,0.95381004624615,0.95372587137092,0.91661486314023
BHS,Bahamas,0.13358350730295,0.12978973483068,0.12086237902469,0.12412787043121,0.12809877914694,0.13919563222738,0.14711570149469,0.13770814747448,0.16260998442756,0.12833536253477,0.10300220678318,0.1019354275436,0.10542550721702,0.086652124367796,0.092334540041938,0.088306190146506,0.10164125226981,0.11756330810845,0.12468090694867,0.11261173902937,0.12300540607946,0.092448447605068,0.10438553538363,0.11785784112745,0.1156957038286,0.110029391941,0.11861692538456,0.12322443950527,0.14128810891355,0.15527482144991,0.17852124510292,0.14871469254376,0.13420488567115
BIH,Bosnia and Herzegovina,3.9910328362338,4.2406039586488,3.5104331119901,3.0574686680798,1.0040049704596,0.8342530705509,0.48925118361785,0.63008758008096,0.68242311118887,0.63996999815763,0.69838079657832,0.66604413068727,0.670096405813,0.65842140374177,0.66387098975145,0.6602287635395,0.68495543205324,0.67905324896024,0.67937971138821,0.69499957370294,0.7021270020202,0.77578801635892,0.73064222696464,0.70951318253074,0.66652051029772,0.63791734038917,0.68467854620389,0.67577844815566,0.65963977676547,0.60754509331317,0.62454111275237,0.56351079524479,0.5429265609351
BLR,Belarus,1.5173685430301,1.4825081695359,1.4973571299127,1.4302409435748,1.4134055672133,1.4309532935848,1.3964026951068,1.254455061542,1.1360519585409,1.0664736866718,0.97080240125535,0.91106266623209,0.86665151322575,0.81592223586262,0.77018459729961,0.70527868655655,0.66411896200461,0.60154603082855,0.59687777088662,0.57817576478114,0.56810448602219,0.59711933143441,0.5976436896877,0.59479725311626,0.58155102767563,0.57864029276431,0.58886587204902,0.58400481477512,0.58469511386558,0.56536338494168,0.55444475250988,0.55437139174663,0.56688700191124
BLZ,Belize,0.42422169060077,0.39502661295726,0.35035483044551,0.32013306400282,0.31970589659404,0.30730306978648,0.29548194729564,0.34019154416001,0.33792576217944,0.3328548749732,0.2527608769291,0.25212039541683,0.24544125570433,0.23653666117607,0.21836022314838,0.22257329523576,0.24420809728694,0.24802686323914,0.2560214521804,0.27804060176852,0.28847966200455,0.28178759356882,0.26375832727182,0.27671024048549,0.24980456774606,0.25430506264351,0.2606335400398,0.27811916199014,0.27047552653663,0.26650433521691,0.29853118931217,0.27076702397997,0.24848310027985
